Region,Code,Year,Terrorist attacks
Australasia & Oceania,,2011,0
Australasia & Oceania,,2012,0
Australasia & Oceania,,2013,1
Australasia & Oceania,,2014,9
Australasia & Oceania,,2015,12
Australasia & Oceania,,2016,10
Australasia & Oceania,,2017,13
Australasia & Oceania,,2018,21
Australasia & Oceania,,2019,5
Australasia & Oceania,,2020,21
Australasia & Oceania,,2021,1
Central America & Caribbean,,2011,1
Central America & Caribbean,,2012,1
Central America & Caribbean,,2013,14
Central America & Caribbean,,2014,4
Central America & Caribbean,,2015,1
Central America & Caribbean,,2016,3
Central America & Caribbean,,2017,4
Central America & Caribbean,,2018,15
Central America & Caribbean,,2019,15
Central America & Caribbean,,2020,13
Central America & Caribbean,,2021,2
Central Asia,,2011,9
Central Asia,,2012,12
Central Asia,,2013,7
Central Asia,,2014,9
Central Asia,,2015,10
Central Asia,,2016,17
Central Asia,,2017,8
Central Asia,,2018,7
Central Asia,,2019,3
Central Asia,,2020,6
Central Asia,,2021,0
East Asia,,2011,4
East Asia,,2012,4
East Asia,,2013,15
East Asia,,2014,43
East Asia,,2015,28
East Asia,,2016,8
East Asia,,2017,7
East Asia,,2018,6
East Asia,,2019,18
East Asia,,2020,21
East Asia,,2021,5
Eastern Europe,,2011,198
Eastern Europe,,2012,173
Eastern Europe,,2013,166
Eastern Europe,,2014,963
Eastern Europe,,2015,685
Eastern Europe,,2016,136
Eastern Europe,,2017,112
Eastern Europe,,2018,72
Eastern Europe,,2019,44
Eastern Europe,,2020,60
Eastern Europe,,2021,16
Middle East & North Africa,,2011,1663
Middle East & North Africa,,2012,2404
Middle East & North Africa,,2013,4572
Middle East & North Africa,,2014,6996
Middle East & North Africa,,2015,6194
Middle East & North Africa,,2016,6557
Middle East & North Africa,,2017,4183
Middle East & North Africa,,2018,2740
Middle East & North Africa,,2019,2175
Middle East & North Africa,,2020,1802
Middle East & North Africa,,2021,1262
North America,,2011,11
North America,,2012,39
North America,,2013,32
North America,,2014,37
North America,,2015,65
North America,,2016,81
North America,,2017,105
North America,,2018,110
North America,,2019,108
North America,,2020,130
North America,,2021,59
South Asia,,2011,2138
South Asia,,2012,3807
South Asia,,2013,4611
South Asia,,2014,4997
South Asia,,2015,4586
South Asia,,2016,3641
South Asia,,2017,3432
South Asia,,2018,3287
South Asia,,2019,3039
South Asia,,2020,3418
South Asia,,2021,1853
Southeast Asia,,2011,356
Southeast Asia,,2012,588
Southeast Asia,,2013,1188
Southeast Asia,,2014,1083
Southeast Asia,,2015,1072
Southeast Asia,,2016,1077
Southeast Asia,,2017,1024
Southeast Asia,,2018,875
Southeast Asia,,2019,715
Southeast Asia,,2020,419
Southeast Asia,,2021,373