country,numkills
Afghanistan,67549
Albania,42
Algeria,11091
Andorra,0
Angola,3060
Antarctica,0
Antigua and Barbuda,0
Argentina,492
Armenia,37
Australia,27
Austria,37
Azerbaijan,258
Bahamas,1
Bahrain,44
Bangladesh,1275
Barbados,76
Belarus,14
Belgium,83
Belize,3
Benin,2
Bhutan,9
Bolivia,54
Bosnia-Herzegovina,79
Botswana,11
Brazil,218
Brunei,0
Bulgaria,28
Burkina Faso,1735
Burundi,4294
Cambodia,543
Cameroon,3186
Canada,381
Central African Republic,2440
Chad,1664
Chile,231
China,1010
Colombia,15135
Comoros,1
Costa Rica,17
Croatia,249
Cuba,8
Cyprus,45
Czech Republic,6
Czechoslovakia,27
Democratic Republic of the Congo,7060
Denmark,5
Djibouti,274
Dominica,3
Dominican Republic,34
East Germany (GDR),2
East Timor,9
Ecuador,66
Egypt,4263
El Salvador,12053
Equatorial Guinea,2
Eritrea,46
Estonia,3
Ethiopia,3205
Falkland Islands,0
Fiji,8
Finland,12
France,565
French Guiana,1
French Polynesia,0
Gabon,8
Gambia,13
Georgia,279
Germany,103
Ghana,27
Greece,264
Grenada,9
Guadeloupe,8
Guatemala,5169
Guinea,214
Guinea-Bissau,17
Guyana,41
Haiti,340
Honduras,313
Hong Kong,4
Hungary,6
Iceland,0
India,20358
Indonesia,1345
International,1
Iran,1782
Iraq,81675
Ireland,108
Israel,1625
Italy,420
Ivory Coast,286
Jamaica,42
Japan,66
Jordan,140
Kazakhstan,39
Kenya,2173
Kosovo,84
Kuwait,63
Kyrgyzstan,11
Laos,27
Latvia,2
Lebanon,4105
Lesotho,46
Liberia,177
Libya,2944
Lithuania,1
Luxembourg,0
Macau,1
Macedonia,49
Madagascar,31
Malawi,33
Malaysia,156
Maldives,22
Mali,3411
Malta,5
Martinique,0
Mauritania,43
Mauritius,0
Mexico,846
Moldova,13
Montenegro,2
Morocco,294
Mozambique,3893
Myanmar,1442
Namibia,220
Nepal,1977
Netherlands,41
New Caledonia,35
New Hebrides,0
New Zealand,52
Nicaragua,10608
Niger,2284
Nigeria,29093
North Korea,3
North Yemen,3
Norway,80
Pakistan,25259
Panama,38
Papua New Guinea,79
Paraguay,62
People's Republic of the Congo,15
Peru,12778
Philippines,10680
Poland,9
Portugal,32
Qatar,7
Republic of the Congo,182
Rhodesia,217
Romania,4
Russia,4329
Rwanda,3274
Saudi Arabia,705
Senegal,343
Serbia,3
Serbia-Montenegro,3
Seychelles,0
Sierra Leone,840
Singapore,5
Slovak Republic,9
Slovenia,1
Solomon Islands,4
Somalia,13175
South Africa,2715
South Korea,10
South Sudan,2854
South Yemen,0
Soviet Union,96
Spain,1289
Sri Lanka,15588
St. Kitts and Nevis,0
St. Lucia,2
Sudan,4144
Suriname,29
Swaziland,6
Sweden,22
Switzerland,75
Syria,18860
Taiwan,60
Tajikistan,389
Tanzania,112
Thailand,2901
Togo,76
Trinidad and Tobago,6
Tunisia,385
Turkey,7123
Turkmenistan,3
Uganda,3104
Ukraine,2303
United Arab Emirates,123
United Kingdom,3426
United States,3926
Uruguay,6
Uzbekistan,68
Vanuatu,0
Vatican City,0
Venezuela,275
Vietnam,1
Wallis and Futuna,0
West Bank and Gaza Strip,1663
West Germany (FRG),97
Western Sahara,1
Yemen,12842
Yugoslavia,119
Zaire,324
Zambia,70
Zimbabwe,157